class_no,class_number,class_payout,class_name,class_label,source
29179,407,,"$2,000 USHJA Pony Hunt & Go Derby 2'3""/2'6""/2'9""","407) $2,000 USHJA Pony Hunt & Go Derby 2'3""/2'6""/2'9""",counts.php
29175,408,,"$2500 WEC NonPro Hunt & Go Derby 2'6"" Child","408) $2500 WEC NonPro Hunt & Go Derby 2'6"" Child",counts.php
29187,412,,"$3500 Junior Hunter Classic 3'6"" Small","412) $3500 Junior Hunter Classic 3'6"" Small",counts.php
29189,413,,"$3500 Junior Hunter Classic 3'6"" Large","413) $3500 Junior Hunter Classic 3'6"" Large",counts.php
33453,414,,"$2500 Junior Hunter Classic 3'3""","414) $2500 Junior Hunter Classic 3'3""",counts.php
29185,416,,"$2500 Amateur Owner Hunter Classic 3'3""","416) $2500 Amateur Owner Hunter Classic 3'3""",counts.php
29186,417,,"$3500 Amateur Owner Hunter Classic 3'6""","417) $3500 Amateur Owner Hunter Classic 3'6""",counts.php
29431,418,,"$2500 Pony Hunter Classic 2'3/2'6""/2'9""","418) $2500 Pony Hunter Classic 2'3/2'6""/2'9""",counts.php
29463,419,,"$1500 Green Pony Hunter Classic 2'9""/2'6""/2'3""","419) $1500 Green Pony Hunter Classic 2'9""/2'6""/2'3""",counts.php
29193,420,,$1000 Children's Pony Hunter Classic 2'/2'6',420) $1000 Children's Pony Hunter Classic 2'/2'6',counts.php
29194,421,,$1500 NAL/WIHS Children's Hunter Classic 14 & U 3',421) $1500 NAL/WIHS Children's Hunter Classic 14 & U 3',counts.php
29195,422,,$1500 NAL/WIHS Children's Hunter Classic 15-17 3',422) $1500 NAL/WIHS Children's Hunter Classic 15-17 3',counts.php
29196,423,,$1500 NAL/WIHS Adult Hunter Classic 18-35 3',423) $1500 NAL/WIHS Adult Hunter Classic 18-35 3',counts.php
29197,424,,$1500 NAL/WIHS Adult Hunter Classic 36+ 3',424) $1500 NAL/WIHS Adult Hunter Classic 36+ 3',counts.php
33454,425,,"$1250 Low Children's Hunter Classic 2'6""","425) $1250 Low Children's Hunter Classic 2'6""",counts.php
29199,427,,$1250 Low Adult Hunter Classic 18-35 2'6',427) $1250 Low Adult Hunter Classic 18-35 2'6',counts.php
